
#DISTRICT,CITY/TEHSIL,DIVISION,PROVINCE,NA NAME(NA#),PA#
#BALOCHISTAN

ISLAMABAD,ISLAMABAD-II,ISLAMABAD CAPITAL TERRITORY,FEDERAL CAPITAL TERRITORY,ISLAMABAD-II (NA-47),0
ISLAMABAD,ISLAMABAD-III,ISLAMABAD CAPITAL TERRITORY,FEDERAL CAPITAL TERRITORY,ISLAMABAD-III (NA-48),0


#PUNJAB

ATTOCK,ATTOCK-I,ATTOCK,PUNJAB,ATTOCK (NA-49),PP-1
ATTOCK,ATTOCK-II,ATTOCK,PUNJAB,ATTOCK (NA-49),PP-2
ATTOCK,PINDI GHEB,ATTOCK,PUNJAB,ATTOCK (NA-49),PP-3
ATTOCK,FATEHJANG,ATTOCK,PUNJAB,ATTOCK (NA-50),PP-4
ATTOCK,TALAGANG,ATTOCK,PUNJAB,ATTOCK (NA-50),PP-5
RAWALPINDI,RAWALPINDI-I,RAWALPINDI,PUNJAB,RAWALPINDI (NA-51),PP-6
RAWALPINDI,RAWALPINDI-II,RAWALPINDI,PUNJAB,RAWALPINDI (NA-51),PP-7
RAWALPINDI,RAWALPINDI-III,RAWALPINDI,PUNJAB,RAWALPINDI (NA-52),PP-8
RAWALPINDI,RAWALPINDI-IV,RAWALPINDI,PUNJAB,RAWALPINDI (NA-52),PP-9
RAWALPINDI,RAWALPINDI-V,RAWALPINDI,PUNJAB,RAWALPINDI (NA-53),PP-10
RAWALPINDI,RAWALPINDI-VI,RAWALPINDI,PUNJAB,RAWALPINDI (NA-53),PP-11
CHAKWAL,CHAKWAL-I,CHAKWAL,PUNJAB,CHAKWAL (NA-60),PP-20
CHAKWAL,CHAKWAL-II,CHAKWAL,PUNJAB,CHAKWAL (NA-60),PP-21
CHAKWAL,TALAGANG,CHAKWAL,PUNJAB,CHAKWAL (NA-61),PP-22
JEHLUM,JEHLUM-I,JEHLUM,PUNJAB,JEHLUM (NA-62),PP-23
JEHLUM,JEHLUM-II,JEHLUM,PUNJAB,JEHLUM (NA-62),PP-24
JEHLUM,PINDA DADAN KHAN,JEHLUM,PUNJAB,JEHLUM (NA-63),PP-25
GUJRAT,GUJRAT-I,GUJRAT,PUNJAB,GUJRAT (NA-64),PP-26
GUJRAT,GUJRAT-II,GUJRAT,PUNJAB,GUJRAT (NA-64),PP-27
GUJRAT,GUJRAT-III,GUJRAT,PUNJAB,GUJRAT (NA-65),PP-28
GUJRAT,GUJRAT-IV,GUJRAT,PUNJAB,GUJRAT (NA-65),PP-29
GUJRAT,GUJRAT-V,GUJRAT,PUNJAB,GUJRAT (NA-66),PP-30
GUJRAT,GUJRAT-VI,GUJRAT,PUNJAB,GUJRAT (NA-66),PP-31
SIALKOT,SIALKOT-I,SIALKOT,PUNJAB,SIALKOT (NA-72),PP-32
SIALKOT,SIALKOT-II,SIALKOT,PUNJAB,SIALKOT (NA-72),PP-33
